n,p,t,name,time
100000,1,0,serial,0.00910907
100000,1,0,reduction,0.00917051
100000,1,0,critical,0.00901306
100000,2,0,serial,0.0117146
100000,2,0,reduction,0.00607059
100000,2,0,critical,0.00609665
100000,4,0,serial,0.011801
100000,4,0,reduction,0.0034588
100000,4,0,critical,0.00337701
100000,6,0,serial,0.0113088
100000,6,0,reduction,0.00238393
100000,6,0,critical,0.0022876
100000,8,0,serial,0.011935
100000,8,0,reduction,0.00211992
100000,8,0,critical,0.00198232
100000,12,0,serial,0.0135735
100000,12,0,reduction,0.00191281
100000,12,0,critical,0.00189683
100000,16,0,serial,0.0112593
100000,16,0,reduction,0.00232274
100000,16,0,critical,0.0027605
100000,20,0,serial,0.012976
100000,20,0,reduction,0.00273208
100000,20,0,critical,0.00417648
100000,24,0,serial,0.0193009
100000,24,0,reduction,0.0127172
100000,24,0,critical,0.00264069
1000000,1,0,serial,0.115846
1000000,1,0,reduction,0.115028
1000000,1,0,critical,0.115457
1000000,2,0,serial,0.107222
1000000,2,0,reduction,0.0587949
1000000,2,0,critical,0.0560717
1000000,4,0,serial,0.141748
1000000,4,0,reduction,0.0341
1000000,4,0,critical,0.0339491
1000000,6,0,serial,0.140059
1000000,6,0,reduction,0.0223795
1000000,6,0,critical,0.022182
1000000,8,0,serial,0.142802
1000000,8,0,reduction,0.0170083
1000000,8,0,critical,0.0167742
1000000,12,0,serial,0.125806
1000000,12,0,reduction,0.0111266
1000000,12,0,critical,0.0112216
1000000,16,0,serial,0.175656
1000000,16,0,reduction,0.0171973
1000000,16,0,critical,0.0117215
1000000,20,0,serial,0.152433
1000000,20,0,reduction,0.0154439
1000000,20,0,critical,0.00868039
1000000,24,0,serial,0.153657
1000000,24,0,reduction,0.0161463
1000000,24,0,critical,0.0077137
10000000,1,0,serial,1.53726
10000000,1,0,reduction,0.36922
10000000,1,0,critical,0.3678
10000000,2,0,serial,1.53386
10000000,2,0,reduction,0.42482
10000000,2,0,critical,0.423283
10000000,4,0,serial,1.53111
10000000,4,0,reduction,0.390129
10000000,4,0,critical,0.389136
10000000,6,0,serial,1.56638
10000000,6,0,reduction,0.470748
10000000,6,0,critical,0.482145
10000000,8,0,serial,1.42049
10000000,8,0,reduction,0.219429
10000000,8,0,critical,0.219409
10000000,12,0,serial,1.4451
10000000,12,0,reduction,0.220798
10000000,12,0,critical,0.22102
10000000,16,0,serial,1.54444
10000000,16,0,reduction,0.495843
10000000,16,0,critical,0.47751
10000000,20,0,serial,1.18164
10000000,20,0,reduction,0.669878
10000000,20,0,critical,0.671808
10000000,24,0,serial,1.22803
10000000,24,0,reduction,1.22557
10000000,24,0,critical,1.22867
100000000,1,0,serial,18.7888
100000000,1,0,reduction,17.2894
100000000,1,0,critical,17.0657
100000000,2,0,serial,16.1179
100000000,2,0,reduction,8.2745
100000000,2,0,critical,7.95377
100000000,4,0,serial,17.1308
100000000,4,0,reduction,5.2719
100000000,4,0,critical,4.98271
100000000,6,0,serial,16.7536
100000000,6,0,reduction,4.29943
100000000,6,0,critical,3.38081
100000000,8,0,serial,16.2545
100000000,8,0,reduction,4.48153
100000000,8,0,critical,4.41673
100000000,12,0,serial,14.5588
100000000,12,0,reduction,1.62551
100000000,12,0,critical,1.68795
100000000,16,0,serial,16.7615
100000000,16,0,reduction,2.29344
100000000,16,0,critical,2.04073
100000000,20,0,serial,15.8352
100000000,20,0,reduction,2.15628
100000000,20,0,critical,2.0792
100000000,24,0,serial,16.064
100000000,24,0,reduction,2.68563
100000000,24,0,critical,1.5246
1000000000,1,0,serial,107.284
1000000000,1,0,reduction,107.614
1000000000,1,0,critical,108.165
1000000000,2,0,serial,169.795
1000000000,2,0,reduction,88.738
1000000000,2,0,critical,83.8299
1000000000,4,0,serial,185.157
1000000000,4,0,reduction,68.5767
1000000000,4,0,critical,50.3824
1000000000,6,0,serial,200.547
1000000000,6,0,reduction,67.8448
1000000000,6,0,critical,52.4501
1000000000,8,0,serial,177.57
1000000000,8,0,reduction,47.8632
1000000000,8,0,critical,31.5862
1000000000,12,0,serial,165.025
1000000000,12,0,reduction,30.2513
1000000000,12,0,critical,24.882
1000000000,16,0,serial,155.115
1000000000,16,0,reduction,24.2417
1000000000,16,0,critical,12.8592
1000000000,20,0,serial,169.665
1000000000,20,0,reduction,40.9913
1000000000,20,0,critical,31.9009
1000000000,24,0,serial,168.33
1000000000,24,0,reduction,34.0235
1000000000,24,0,critical,26.4086
