prcs,dim,serial
1,64,0.202367
2,64,0.203811
3,64,0.178809
4,64,0.17146
5,64,0.182261
6,64,0.179778
7,64,0.183556
8,64,0.175
9,64,0.195955
10,64,0.207142
11,64,0.219628
12,64,0.212212
13,64,0.295514
14,64,0.309503
15,64,0.363231
16,64,0.395497
17,64,0.35002
18,64,0.388927
19,64,0.524764
20,64,0.46342
21,64,0.423122
22,64,0.466305
23,64,0.562739
24,64,0.630665
1,128,0.746927
2,128,0.602718
3,128,0.49117
4,128,0.424942
5,128,0.436925
6,128,0.38359
7,128,0.380233
8,128,0.328856
9,128,0.381276
10,128,0.581889
11,128,0.39502
12,128,0.588554
13,128,0.500734
14,128,0.525659
15,128,0.624884
16,128,0.645246
17,128,0.597437
18,128,0.63937
19,128,0.742022
20,128,0.752495
21,128,0.703097
22,128,0.757559
23,128,0.883509
24,128,0.924572
1,256,7.6402
2,256,3.73196
3,256,2.54018
4,256,1.94606
5,256,1.60379
6,256,1.63537
7,256,1.27832
8,256,1.1064
9,256,1.15169
10,256,1.0777
11,256,1.07824
12,256,1.39495
13,256,1.21069
14,256,1.22869
15,256,1.51955
16,256,1.46717
17,256,1.31198
18,256,1.40417
19,256,1.58327
20,256,1.5203
21,256,1.38877
22,256,1.52057
23,256,1.72203
24,256,1.71288
1,512,89.3064
2,512,42.1784
3,512,28.7194
4,512,21.0027
5,512,15.3461
6,512,14.1793
7,512,12.1563
8,512,10.4984
9,512,9.59857
10,512,8.85642
11,512,8.12429
12,512,7.79948
13,512,7.46719
14,512,6.89249
15,512,6.77449
16,512,6.39551
17,512,5.9482
18,512,5.94129
19,512,5.97854
20,512,5.57914
21,512,5.26143
22,512,5.21492
23,512,5.41215
24,512,5.29971
1,1024,
2,1024,
3,1024,
4,1024,
5,1024,
6,1024,
7,1024,
8,1024,
9,1024,
10,1024,
11,1024,
12,1024,
13,1024,
14,1024,
15,1024,
16,1024,
17,1024,
18,1024,
19,1024,
20,1024,
21,1024,
22,1024,
23,1024,
24,1024,
