k,n,p,name,value
100,1000,1,ki,100
100,1000,1,ni,1000
100,1000,1,size,1
100,1000,1,N,1000
100,1000,1,time,0.0965
100,2000,4,ki,100
100,2000,4,ni,2000
100,2000,4,size,4
100,2000,4,N,2000
100,2000,4,time,0.1046
100,2800,8,ki,100
100,2800,8,ni,2800
100,2800,8,size,8
100,2800,8,N,2800
100,2800,8,time,0.1073
100,4000,16,ki,100
100,4000,16,ni,4000
100,4000,16,size,16
100,4000,16,N,4000
100,4000,16,time,0.1166
100,4900,24,ki,100
100,4900,24,ni,4900
100,4900,24,size,24
100,4900,24,N,4900
100,4900,24,time,0.1237
